id,generic_name,scientific_name,english_name,sex,file_url,length,license,location,bird_type,also,smp,seen,regnr,file,source
403368,Mohoua,albicilla,Whitehead,,https://xeno-canto.org/403368/download,13,//creativecommons.org/licenses/by-nc-sa/4.0/,Tiritiri_Matangi_Island,call,[],44100,yes,,https://xeno-canto.org/403368/download,Xeno-Canto
214595,Mohoua,albicilla,Whitehead,,https://xeno-canto.org/214595/download,27,//creativecommons.org/licenses/by-nc-sa/4.0/,"Wellington,_Wellington_City,_Wellington","alarm_call,_call",[],44100,yes,,https://xeno-canto.org/214595/download,Xeno-Canto
123243,Mohoua,albicilla,Whitehead,,https://xeno-canto.org/123243/download,10,//creativecommons.org/licenses/by-nc-sa/3.0/,"Tawharanui_Regional_Park,__Auckland,_Auckland",call,[],44100,yes,,https://xeno-canto.org/123243/download,Xeno-Canto
33761,Mohoua,albicilla,Whitehead,,https://xeno-canto.org/33761/download,44,//creativecommons.org/licenses/by-nc-sa/3.0/,"Waipapa_Ecological_Area,_Pureora_Forest,_North_Island_",call,[],44100,unknown,,https://xeno-canto.org/33761/download,Xeno-Canto
33760,Mohoua,albicilla,Whitehead,,https://xeno-canto.org/33760/download,20,//creativecommons.org/licenses/by-nc-sa/3.0/,Tiritiri_Matangi_Island_,call,[],44100,unknown,,https://xeno-canto.org/33760/download,Xeno-Canto
481078,Mohoua,albicilla,Whitehead,,https://xeno-canto.org/481078/download,88,//creativecommons.org/licenses/by-nc-sa/4.0/,"Tongariro_National_Park,_Ruapehu_District,_Manawatu-Wanganui",call,['Gerygone igata'],44100,yes,,https://xeno-canto.org/481078/download,Xeno-Canto
293307,Mohoua,albicilla,Whitehead,,https://xeno-canto.org/293307/download,35,//creativecommons.org/licenses/by-nc-sa/4.0/,Tiritiri_Matangi_Island_,call,['Zosterops lateralis'],44100,no,,https://xeno-canto.org/293307/download,Xeno-Canto
960627,Petroica,macrocephala,Tomtit,male,https://xeno-canto.org/960627/download,103,//creativecommons.org/licenses/by-nc-sa/4.0/,"Ohakune,_Ruapehu_District_Council,_Manawatū-Whanganui",call,[],44100,yes,,https://xeno-canto.org/960627/download,Xeno-Canto
198880,Petroica,macrocephala,Tomtit,,https://xeno-canto.org/198880/download,14,//creativecommons.org/licenses/by-nc-sa/4.0/,"Mount_Aspiring_National_Park,_Westland_District,_West_Coast",call,['Acanthisitta chloris'],44100,yes,,https://xeno-canto.org/198880/download,Xeno-Canto
198153,Petroica,macrocephala,Tomtit,,https://xeno-canto.org/198153/download,16,//creativecommons.org/licenses/by-nc-sa/4.0/,"Rakiura_National_Park_(near__Oban),_Southland_District,_Southland",call,[],44100,yes,,https://xeno-canto.org/198153/download,Xeno-Canto
